Cluster,Keio gene name,EcoGene Essentiality: Escherichia coli BW25113,Ancestral Essentiality,PastML Ancestral Essentiality,Core Essentiality,Conserved in Symbiont Genomes,TraDIS Essentiality: Klebsiella pneumoniae Ecl8,TraDIS Essentiality: Klebsiella pneumoniae RH201207,TraDIS Essentiality: Escherichia coli ST131 EC958,TraDIS Essentiality: Escherichia coli UPEC ST131 NCTC13441,TraDIS Essentiality: Escherichia coli BW25113,TraDIS Essentiality: Citrobacter rodentium ICC168,TraDIS Essentiality: Salmonella Typhi Ty2,TraDIS Essentiality: Salmonella Typhimurium A130,TraDIS Essentiality: Salmonella Typhimurium D23580,TraDIS Essentiality: Salmonella Typhimurium SL3261,TraDIS Essentiality: Salmonella Typhimurium SL1344,TraDIS Essentiality: Salmonella Enteritidis P125109,Locus: Klebsiella pneumoniae Ecl8,Locus: Klebsiella pneumoniae RH201207,Locus: Escherichia coli ST131 EC958,Locus: Escherichia coli UPEC ST131 NCTC13441,Locus: Escherichia coli BW25113 (Keio),Locus: Escherichia coli BW25113,Locus: Citrobacter rodentium ICC168,Locus: Salmonella Typhi Ty2,Locus: Salmonella Typhimurium A130,Locus: Salmonella Typhimurium D23580,Locus: Salmonella Typhimurium SL3261,Locus: Salmonella Typhimurium SL1344,Locus: Salmonella Enteritidis P125109,Locus: Secondary endosymbiont of Ctenarytaina eucalypti,Locus: Candidatus Moranella endobia PCIT,Locus: Secondary endosymbiont of Heteropsylla cubana,Locus: Candidatus Baumannia cicadellinicola strain BGSS,Locus: Candidatus Baumannia cicadellinicola strain B-GSS,Locus: Baumannia cicadellinicola str. Hc (Homalodisca coagulata),Locus: Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757,Locus: Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675,Locus: Candidatus Blochmannia vafer str. BVAF,Locus: Candidatus Blochmannia floridanus,Locus: Candidatus Blochmannia pennsylvanicus str. BPEN,Locus: Candidatus Blochmannia chromaiodes str. 640,Locus: Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,Locus: Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans,Locus: Buchnera aphidicola str. Sg (Schizaphis graminum),Locus: Buchnera aphidicola str. G002 (Myzus persicae),Locus: Buchnera aphidicola str. USDA (Myzus persicae),Locus: Buchnera aphidicola str. F009 (Myzus persicae),Locus: Buchnera aphidicola str. W106 (Myzus persicae),Locus: Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),Locus: Buchnera aphidicola str. APS (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. LL01 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. JF98 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. JF99 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. 5A (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. Ua (Uroleucon ambrosiae),Locus: Buchnera aphidicola str. Bp (Baizongia pistaciae),Locus: Buchnera aphidicola BCc,Locus: Buchnera aphidicola (Cinara tujafilina),Locus: Sodalis glossinidius str. morsitans,Locus: Sodalis praecaptivus strain HS1,Locus: Candidatus Sodalis pierantonius str. SOPE
Clust4383,NA,0,0,0,0,0,NA,NA,NA,NA,NA,4.419701511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROD_38851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4384,NA,0,0,0,0,0,NA,NA,NA,NA,NA,5.08502378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROD_23611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4385,NA,0,0,0,0,0,NA,NA,NA,NA,NA,4.450691951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROD_13911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4386,NA,0,0,0,0,0,NA,NA,NA,NA,NA,4.791655131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROD_31891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4387,NA,0,0,0,0,0,NA,NA,NA,NA,NA,5.141554011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROD_08991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4388,NA,0,0,0,0,0,NA,NA,NA,NA,NA,4.945087916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROD_26411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4389,NA,0,0,0,0,0,NA,NA,NA,NA,NA,3.833568925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROD_50111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4390,NA,0,0,0,0,0,3.498415683,4.389611992,2.959569555,2.99644155,NA,3.667469029,NA,NA,NA,NA,NA,NA,BN373_00961,ERS227112_01960,EC958_0428,NCTC13441_03686,NA,NA,ROD_35231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4391,yfaZ,0,0,0,0,0,3.053437394,3.465022936,3.656846726,3.80029348,3.721418213,3.711103953,3.26595483,3.178862415,3.587752108,3.145806655,2.862618542,2.635442682,BN373_32661,ERS227112_03923,EC958_2588,NCTC13441_01458,b2250,BW25113_2250,ROD_26631,t0569,STM_MW23181,STMMW_23181,SL3261_2263,SL1344_2263,SEN2276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4392,NA,0,0,0,0,0,NA,3.630690825,NA,NA,NA,2.958900111,NA,NA,NA,NA,NA,NA,NA,ERS227112_01261,NA,NA,NA,NA,ROD_33351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4393,NA,0,0,0,0,0,2.983073318,2.76026536,3.338953126,3.764273139,NA,NA,NA,NA,NA,NA,NA,NA,BN373_37091,ERS227112_01584,EC958_4064,NCTC13441_00027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4394,NA,0,0,0,0,0,NA,3.059941835,NA,NA,NA,NA,3.330667929,2.546413927,2.60723738,3.009654145,2.767568241,NA,NA,ERS227112_01055,NA,NA,NA,NA,NA,t3176,STM_MW32561,STMMW_32561,SL3261_3229,SL1344_3229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4395,NA,0,0,0,0,0,2.836203079,2.763506384,NA,NA,NA,2.659266558,1.973252826,1.973982052,2.362645247,2.944699395,2.771984752,1.401397464,BN373_38251,ERS227112_01475,NA,NA,NA,NA,ROD_21151,t0844,STM_MW20611,STMMW_20611,SL3261_2006,SL1344_2006,SEN2028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4396,NA,0,0,0,0,0,4.235728264,2.381276374,NA,NA,NA,NA,3.935114955,4.290510796,3.731981714,3.755961259,3.245251755,3.607065734,BN373_45601,ERS227112_00181,NA,NA,NA,NA,NA,t3868,STM_MW36411,STMMW_36411,SL3261_3617,SL1344_3617,SEN3474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4397,NA,0,0,0,0,0,3.478132363,NA,NA,NA,NA,NA,NA,NA,NA,3.886848234,2.739222615,NA,BN373_14511,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL3261_2698,SL1344_2698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4398,NA,0,0,0,0,0,3.033677231,2.779298777,NA,NA,NA,NA,2.961088808,2.689497838,3.148667738,2.653042705,3.340838606,2.630727893,BN373_41741,ERS227112_01093,NA,NA,NA,NA,NA,t1569,STM_MW16611,STMMW_16611,SL3261_1596,SL1344_1596,SEN1366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4399,NA,0,0,0,0,0,NA,2.75685675,NA,NA,NA,NA,2.202070412,NA,NA,3.503138626,3.055172539,NA,NA,ERS227112_02622,NA,NA,NA,NA,NA,t2650,NA,NA,SL3261_2718,SL1344_2718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4400,NA,0,0,0,0,0,NA,3.664716457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERS227112_02176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4401,NA,0,0,0,0,0,3.195168579,3.723678657,NA,NA,NA,3.133196801,1.888304869,1.528273242,2.441884218,2.964200761,2.870073579,1.476189567,BN373_38371,ERS227112_01461,NA,NA,NA,NA,ROD_21281,t0832,STM_MW20731,STMMW_20731,SL3261_2018,SL1344_2018,SEN2040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4402,NA,0,0,0,0,0,3.113099841,3.585445135,NA,NA,NA,2.397948256,NA,NA,NA,NA,NA,NA,BN373_03941,ERS227112_02241,NA,NA,NA,NA,ROD_48301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4403,yieE,0,0,0,0,0,3.628248477,3.969621352,3.44671167,3.387063022,3.759090565,3.351025801,3.196033324,3.30749461,3.273352949,3.701590584,3.804345621,3.407184209,BN373_47581,ERS227112_00463,EC958_4185,NCTC13441_04805,b3712,BW25113_3712,ROD_40211,t3674,STM_MW38341,STMMW_38341,SL3261_3816,SL1344_3816,SEN3663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4404,fadD,0,0,0,0,0,3.585147766,2.769919184,3.281685934,2.700752847,3.845235866,3.137073421,2.453857672,2.585651511,2.59652421,3.086229486,3.186889447,2.522599825,BN373_29051,ERS227112_04343A,EC958_2023,NCTC13441_6added,b1805,BW25113_1805,ROD_18441,t1059,STM_MW18101,STMMW_18101,SL3261_1747,SL1344_1747,SEN1219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4405,yncG,0,0,0,0,0,3.688093892,2.233494075,NA,NA,2.835069813,3.285938038,NA,NA,NA,NA,NA,NA,BN373_24711,ERS227112_04782,NA,NA,b1454,BW25113_1454,ROD_15761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4406,NA,0,0,0,0,0,3.808761228,3.248776782,NA,NA,NA,NA,2.746575211,3.309998222,3.288029959,3.581160656,3.445890912,2.688304585,BN373_23561,ERS227112_04882,NA,NA,NA,NA,NA,t0420,STM_MW24561,STMMW_24561,SL3261_2400,SL1344_2400,SEN2418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4407,paaD,0,0,0,0,0,3.727511886,3.25647143,NA,NA,-6.5,NA,NA,NA,NA,NA,NA,NA,BN373_20271,ERS227112_05213,NA,NA,b1391,BW25113_1391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4408,NA,0,0,0,0,0,NA,4.00110462,NA,NA,NA,3.094111855,3.930462563,NA,NA,NA,NA,NA,NA,ERS227112_01203,NA,NA,NA,NA,ROD_33801,t4226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4409,zinT,0,0,0,0,0,3.333624529,3.144892711,2.913456202,3.752174478,3.514010229,3.073558555,3.724903437,3.298821378,2.726999217,3.305679231,3.234934649,3.215548759,BN373_48771,ERS227112_00338,EC958_2237,NCTC13441_01851,b1973,BW25113_1973,ROD_12351,t1141,STM_MW12691,STMMW_12691,SL3261_1198,SL1344_1198,SEN1789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4410,NA,0,0,0,0,0,3.222112667,3.021115574,NA,NA,NA,NA,2.736478283,3.338357835,2.86302082,3.23225527,3.229483764,2.418946813,BN373_04051,ERS227112_02252,NA,NA,NA,NA,NA,t1820,STM_MW11091,STMMW_11091,SL3261_1038,SL1344_1038,SEN0963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4411,NA,0,0,0,0,0,3.033692208,3.149759398,NA,NA,NA,3.008304274,NA,NA,NA,NA,NA,NA,BN373_21131,ERS227112_05127,NA,NA,NA,NA,ROD_44631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4412,NA,0,0,0,0,0,3.268366782,3.59095863,2.966883216,3.603959611,NA,3.51361133,NA,NA,NA,NA,NA,NA,BN373_01191,ERS227112_01983,EC958_1041,NCTC13441_03065,NA,NA,ROD_36821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4413,yegT,0,0,0,0,0,2.927459272,2.726243364,2.929223499,2.967037515,2.634346032,2.733905806,2.720380159,2.96622589,2.695306129,2.753214836,2.817749538,2.432153246,BN373_11081,ERS227112_02967,EC958_2433,NCTC13441_01616,b2098,BW25113_2098,ROD_22231,t0714,STM_MW21731,STMMW_21731,SL3261_2119,SL1344_2119,SEN2138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4414,hycI,0,0,0,0,0,2.320061391,2.854112524,3.328498454,3.430546314,2.769821964,1.772532215,0.170307553,2.426857804,2.857581442,3.195107892,2.865169717,2.286164863,BN373_36871,ERS227112_01606,EC958_2984,NCTC13441_01059,b2717,BW25113_2717,ROD_30941,t2747,STM_MW28071,STMMW_28071,SL3261_2825,SL1344_2825,SEN2687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4415,NA,0,0,0,0,0,2.642174144,NA,NA,NA,NA,2.484602187,NA,NA,NA,NA,NA,NA,BN373_17361,NA,NA,NA,NA,NA,ROD_50551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4416,NA,0,0,0,0,0,2.929576491,3.065987586,NA,NA,NA,2.593400057,NA,NA,NA,NA,NA,NA,BN373_04241,ERS227112_02271,NA,NA,NA,NA,ROD_48441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4417,NA,0,0,0,0,0,2.743752525,2.970075069,NA,NA,NA,3.749510815,NA,NA,NA,NA,NA,NA,BN373_31741,ERS227112_04008,NA,NA,NA,NA,ROD_22531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4418,ytfB,0,0,0,0,0,3.731684099,3.644445492,3.574133331,3.509149962,3.241480264,3.058214089,2.126950923,3.285553402,3.139637102,3.424507069,3.514985053,2.81873446,BN373_02091,ERS227112_02076,EC958_4701,NCTC13441_04239,b4206,BW25113_4206,ROD_32601,t4447,STM_MW43401,STMMW_43401,SL3261_4329,SL1344_4329,SEN4162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4419,soxR,0,0,0,0,0,2.565759873,3.641469067,2.627126656,2.311078325,2.90450831,2.68121723,3.640464554,2.421697885,2.720088071,3.102268564,3.32703455,2.841259641,BN373_00721,ERS227112_01938,EC958_4533,NCTC13441_19added,b4063,BW25113_4063,ROD_34481,t4172,STM_MW42171,STMMW_42171,SL3261_4202,SL1344_4202,SEN4036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4420,malZ,0,0,0,0,0,3.049937046,3.216420149,3.448245658,2.767926011,3.192326463,3.168275823,2.448148127,2.318788931,3.321029915,3.11123279,2.913275548,2.742774089,BN373_08321,ERS227112_02694,EC958_0541,NCTC13441_03576,b0403,BW25113_0403,ROD_04481,t2462,STM_MW04711,STMMW_04711,SL3261_0396,SL1344_0396,SEN0384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4421,NA,0,0,0,0,0,3.536099334,3.922523901,NA,NA,NA,NA,2.804970234,NA,NA,2.605398682,2.998723433,NA,BN373_36001,ERS227112_02624,NA,NA,NA,NA,NA,t4522,NA,NA,SL3261_2716,SL1344_2716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4422,NA,0,0,0,0,0,NA,3.927192514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERS227112_02174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4423,NA,0,0,0,0,0,3.263856231,3.087173351,NA,NA,NA,NA,2.784261293,2.264847957,2.901541576,2.943722811,2.813337398,2.256394613,BN373_08361,ERS227112_02699,NA,NA,NA,NA,NA,t1340,STM_MW14731,STMMW_14731,SL3261_1403,SL1344_1403,SEN1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4424,ybdO,0,0,0,0,0,4.059619753,6.076384279,2.429614619,3.637495437,2.400369287,4.683522819,5.338356809,4.989396234,4.18028027,4.445237265,0.534972686,4.00626452,BN373_12271,ERS227112_03087,EC958_0724,NCTC13441_03391,b0603,BW25113_0603,ROD_06141,t2262,STM_MW06711,STMMW_06711,SL3261_0594,SL1344_0594,SEN0575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4425,ybdM,0,0,0,0,0,3.481572198,3.53724304,3.358416604,2.898473931,3.54483362,3.041541601,3.516474517,2.767120462,2.665017176,3.359051586,3.275155587,2.600259608,BN373_12251,ERS227112_03085,EC958_0722,NCTC13441_03393,b0601,BW25113_0601,ROD_06121,t2263,STM_MW06691,STMMW_06691,SL3261_0592,SL1344_0592,SEN0573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4426,ybjL,0,0,0,0,0,3.757420556,3.141929945,3.67420909,3.393660293,3.50081852,3.592280592,3.607949387,3.242737816,3.772946165,3.525773117,3.49228132,2.819455412,BN373_14931,ERS227112_03363,EC958_0959,NCTC13441_03147,b0847,BW25113_0847,ROD_08541,t2026,STM_MW09211,STMMW_09211,SL3261_0846,SL1344_0846,SEN0816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4427,aroM,0,0,0,0,0,2.452173559,2.955841082,4.400917427,4.185332316,4.182137891,2.899321374,NA,3.440899352,4.057483104,4.118520258,3.862685248,3.542282754,BN373_08221,ERS227112_02684,EC958_0527,NCTC13441_03588,b0390,BW25113_0390,ROD_04351,NA,STM_MW04601,STMMW_04601,SL3261_0385,SL1344_0385,SEN0373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4428,NA,0,0,0,0,0,NA,4.367655974,3.563510839,3.390186981,NA,NA,NA,4.09491973,3.682946508,3.88376177,4.177237894,NA,NA,ERS227112_05391,EC958_1378,NCTC13441_02733,NA,NA,NA,NA,STM_MW10521,STMMW_10521,SL3261_0980,SL1344_0980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4429,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3.636862834,3.832339285,3.992405277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STMMW_26141,SL3261_2558,SL1344_2558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4430,NA,0,0,0,0,0,NA,3.48524974,NA,NA,NA,2.52940952,4.298419814,NA,NA,NA,NA,NA,NA,ERS227112_01230,NA,NA,NA,NA,ROD_33511,t4265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4431,yebE,0,0,0,0,0,2.992470577,2.274540595,2.975720052,2.777141102,2.881499654,2.70124936,2.27294824,1.160482276,3.288534461,3.425206178,3.362458967,2.510095628,BN373_29481,ERS227112_04299,EC958_2066,NCTC13441_02039,b1846,BW25113_1846,ROD_18851,t0997,STM_MW18611,STMMW_18611,SL3261_1814,SL1344_1814,SEN1123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust4432,NA,0,0,0,0,0,NA,2.98310142,NA,NA,NA,2.928948662,2.349572276,NA,NA,NA,NA,NA,NA,ERS227112_01208,NA,NA,NA,NA,ROD_33741,t4232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
