gene,essential,gene_ori,gene_left,gene_right,median_coding,median_template,mad_coding,mad_template,coding,template,operon
ycfK,FALSE,+,1206724,1207353,-0.515058099,-0.254994084,0.108347707,0.227136661,3,6,ymfTLMNROPQ-ycfK-ymfS
yhgF,FALSE,+,3535407,3537728,-0.514961139,-0.368716336,0.199148374,0.324295111,21,17,yhgF
fepA,FALSE,-,609477,611717,-0.514530159,-0.293239548,0.176518626,0.303783065,16,20,fepA-entD
rutR,FALSE,+,1073465,1074103,-0.514427204,-0.255030275,0.342532503,0.239578906,4,8,rutR
frsA,FALSE,+,256527,257771,-0.513933131,-0.20820043,0.20843588,0.30653388,9,9,frsA
wbbJ,FALSE,-,2102518,2103108,-0.51359784,-0.626613525,0.278187171,0.251084021,3,2,wbbIJK
nudL,FALSE,+,1894194,1894772,-0.513570568,-0.581321118,0.079271531,0.122627412,4,3,pabB-nudL
cysU,FALSE,-,2539701,2540534,-0.513100817,-0.307312223,0.195923923,0.267253656,5,8,cysPUWAM
degP,FALSE,+,180884,182308,-0.512913624,-0.35659727,0.076237784,0.356082019,10,13,degP
ydfJ,FALSE,-,1629026,1630309,-0.512651752,-0.072950823,0.009721719,0.087440368,3,8,ydfJ
yfjW,FALSE,+,2771340,2773043,-0.512480399,-0.255659071,0.136762147,0.089452695,7,5,yfjW
ydbD,FALSE,+,1473168,1475474,-0.512351027,-0.461003329,0.169072009,0.334408747,9,15,ydbD
ypdA,FALSE,+,2496693,2498390,-0.512241042,-0.227925035,0.405081288,0.09625082,8,10,ypdABC
malE,FALSE,-,4243252,4244442,-0.511840721,-0.385265314,0.253375809,0.128732576,8,8,malEFG
yeaK,FALSE,+,1871598,1872101,-0.511587668,-0.45913682,0.203672561,0.276978166,4,5,yeaK
ppdB,FALSE,-,2961175,2961738,-0.511192375,-0.242709933,0.146049538,0.331919628,4,8,ppdAB-ygdB-ppdC-recC
ecpA,FALSE,-,309308,309895,-0.509808267,-0.253475797,0.323385542,0.303201459,6,5,ecpA
ycjO,FALSE,+,1371246,1372127,-0.509543726,-0.410575877,0.131229826,0.195584377,4,9,ycjMNOPQRSTUV-ymjB
ybjL,FALSE,-,887357,889042,-0.509389146,-0.258813782,0.172662404,0.228585542,8,16,ybjL
ycfH,FALSE,+,1156000,1156797,-0.508985158,-0.699028935,0.030232867,0.358928516,2,6,pabC-mltG-tmk-holB-ycfH
yfeC,FALSE,+,2516489,2516833,-0.508538363,-0.246030306,0.326177743,0.184670346,4,3,yfeCD
ygiS,FALSE,-,3164133,3165740,-0.508372103,-0.271343734,0.114915396,0.248722598,5,17,ygiS
yfbS,FALSE,-,2407542,2409374,-0.508294069,-0.250165358,0.125036473,0.244303407,10,18,yfbS
fecC,FALSE,-,4510434,4511432,-0.508206742,-0.408418229,0.234926649,0.468495393,6,10,fecABCDE
srlA,FALSE,+,2823854,2824417,-0.508051925,-0.262020202,0.195636941,0.056109146,4,6,srlAEBD-gutM-srlR-gutQ
paaG,FALSE,+,1456288,1457076,-0.507890859,-0.320183562,0.324044237,0.157697656,4,11,paaABCDEFGHIJK
yajC,FALSE,+,426511,426843,-0.507596941,-0.085568279,0,0,1,1,tgt-yajC-secDF
pspF,FALSE,-,1364959,1365936,-0.507566728,-0.422422645,0.297557252,0.26807008,7,9,pspF
ydiV,FALSE,-,1789331,1790044,-0.506797135,-0.233658563,0.091945761,0.098470346,4,3,ydiV
lacY,FALSE,-,361150,362403,-0.506208653,-0.231410231,0.145245301,0.330164738,5,15,lacZYA
yjdP,FALSE,+,4311891,4312220,-0.505811474,-0.302593858,0,0.157449858,1,4,yjdP
mglC,FALSE,-,2234765,2235775,-0.505679545,-0.404956698,0.375568105,0.363874255,2,11,mglBAC
rsmJ,FALSE,-,3640403,3641155,-0.505300637,-0.127554246,0.273120787,0.193893634,7,5,prlC-rsmJ
radD,FALSE,+,2278654,2280414,-0.504945842,-0.454850776,0.352820477,0.351599775,13,13,radD
ycbU,FALSE,+,1002112,1002654,-0.504803348,-0.20771079,0,0.342402106,1,7,elfDCG-ycbUVF
yebC,FALSE,-,1945435,1946175,-0.50466692,-0.517216688,0.022729587,0.263647313,4,6,nudB-yebC-ruvC
csrD,FALSE,-,3399414,3401354,-0.504418219,-0.283078201,0.119457289,0.42024837,13,14,csrD
exuR,FALSE,+,3244674,3245450,-0.504340426,-0.605499018,0.322623458,0.606952634,2,5,exuR
gltS,FALSE,-,3825483,3826688,-0.50415823,-0.189276787,0.374917702,0.153876182,4,18,gltS
ybhG,FALSE,-,828197,829195,-0.504077903,-0.570732542,0.103837946,0.266500397,5,6,cecR-ybhGFSR
puuA,FALSE,-,1357514,1358932,-0.504044818,-0.05850721,0.21431292,0.441719738,12,11,puuAP
xylA,FALSE,-,3727466,3728788,-0.503898938,-0.266173552,0.399000603,0.247311156,9,10,xylAB
cysA,FALSE,-,2537739,2538836,-0.503857674,-0.145540668,0.075621882,0.184327044,9,10,cysPUWAM
rlmN,FALSE,-,2641151,2642305,-0.503833743,-0.289074429,0.209978164,0.252203379,8,7,rlmN
rluC,FALSE,+,1144163,1145122,-0.503024992,-0.337227792,0.293090804,0.283304144,3,7,rluC
manZ,FALSE,+,1901919,1902770,-0.502346064,-0.666640179,0.151808446,0.333386161,4,12,manXYZ
ydiP,FALSE,-,1776414,1777325,-0.501736086,-0.276949954,0.222856341,0.229866827,4,6,ydiP
ybjP,FALSE,-,903175,903690,-0.501366149,-0.507058145,0.276222265,0.044198837,4,3,ybjP
yciT,FALSE,-,1341621,1342370,-0.501220564,-1.374148199,0.07876222,1.37901123,6,2,yciZT
ydcV,FALSE,+,1512786,1513580,-0.500979313,-0.338456831,0.130352046,0.172715218,7,11,ydcSTUV-patD
rlmL,FALSE,+,1007067,1009175,-0.500879486,-0.350191976,0.318114887,0.214471281,14,15,rlmL-uup
allB,FALSE,+,538371,539732,-0.500794451,-0.484881263,0.424296472,0.207761382,9,10,gcl-hyi-glxR-ybbW-allB-ybbY-glxK
ilvE,FALSE,+,3950507,3951436,-0.500699136,-0.570250046,0.14487183,0.247005606,6,7,ilvLXG_1G_2MEDA
ydhC,FALSE,+,1737935,1739146,-0.500595073,-0.122777118,0.237487884,0.136834374,8,5,ydhC
hspQ,FALSE,-,1027627,1027944,-0.500329678,-1.74837858,0.348246009,0.524556214,4,2,hspQ
yjfZ,FALSE,-,4424651,4425445,-0.500267332,-0.360164562,0.176083024,0.272917971,5,2,yjfZ
glnP,FALSE,-,845683,846342,-0.500175336,-0.177515092,0.382952513,0.123953782,6,5,glnHPQ
yoaA,FALSE,-,1889349,1891259,-0.499910294,-0.545517179,0.163856086,0.221010062,22,9,yoaA
yabP,FALSE,+,58474,59124,-0.499770389,-0.433723143,0.470000337,0.596572023,2,3,yabPQ
dinJ,FALSE,-,246242,246502,-0.499505935,-0.599832791,0.047429934,0.247382508,1,5,dinJ-yafQ
rrrQ,FALSE,-,1637548,1638081,-0.499342642,-0.488686528,0.004737749,0.335531583,3,10,essQ-ydfR-rrrQ-ydfP
moaB,FALSE,+,817278,817790,-0.498994228,-0.280765938,0.224612461,0.158151058,5,4,moaABCDE
mrcA,FALSE,+,3520893,3523445,-0.498952668,-0.404949748,0.227423104,0.314498853,12,23,mrcA
yaaU,FALSE,+,45807,47138,-0.498752358,-0.222952941,0.08004656,0.211121914,4,14,yaaU
purK,FALSE,-,550750,551817,-0.498741943,-0.396971712,0.120040759,0.048228876,6,6,purEK
fldB,FALSE,+,3037877,3038398,-0.498721216,-0.069427945,0.208667945,0.603787788,9,5,fldB
thiL,TRUE,+,434858,435835,-0.498711775,-0.482713856,0.189250503,0.596762445,7,9,nrdR-ribDE-nusB-thiL-pgpA
ravA,FALSE,-,3927620,3929116,-0.498599252,-0.367535531,0.137309855,0.308822029,9,4,ravA-viaA
bdm,FALSE,-,1554089,1554304,-0.498175924,-0.419953212,0.06200543,0.413604457,3,2,bdm-sra
artQ,FALSE,-,900757,901473,-0.497737086,-0.29955692,0.117750655,0.241265217,4,8,artPIQM
msrA,FALSE,-,4439561,4440199,-0.497276606,-0.408700884,0.140558617,0.390141852,8,3,msrA
yjgM,FALSE,-,4477057,4477560,-0.497028267,-0.542484815,0,0.092782805,1,3,yjgM
yqeC,FALSE,-,3012309,3013079,-0.49701375,-0.280162538,0.101492361,0.153043256,3,4,yqeC
rsuA,FALSE,-,2277810,2278505,-0.496917416,-0.281093092,0.080082818,0.100885946,1,8,rsuA
mtr,FALSE,-,3302595,3303839,-0.496846202,-0.490019832,0.171394029,0.33808912,9,11,mtr
ydcJ,FALSE,+,1493312,1494655,-0.496543265,-0.328442963,0.305615707,0.352267013,8,13,ydcJ
yliF,FALSE,+,874558,875886,-0.496540062,-0.517072648,0.112226895,0.189093675,5,7,yliF
fadJ,FALSE,-,2455037,2457181,-0.495878648,-0.251387005,0.309208735,0.247896471,10,23,fadIJ
cvpA,FALSE,-,2428297,2428785,-0.495808053,-0.258689099,0.016144753,0.133218008,2,5,cvpA-purF-ubiX
trg,FALSE,+,1490494,1492134,-0.494982112,-0.326739354,0.211683798,0.239066465,8,11,trg
yadD,FALSE,+,146968,147870,-0.494741401,-0.433719054,0,0.351027596,1,4,yadD
queA,FALSE,+,424235,425305,-0.494588028,-0.192422299,0.191309756,0.193976997,6,9,queA
gutM,FALSE,+,2826643,2827002,-0.494451055,-0.260196731,0.033548802,0.175385845,5,4,srlAEBD-gutM-srlR-gutQ
entC,FALSE,+,624108,625283,-0.494319811,-0.439695092,0.107016338,0.395340613,7,9,entCEBAH
kup,FALSE,+,3929339,3931207,-0.494251287,-0.443258073,0.176405361,0.348868044,10,22,kup
lpoA,FALSE,+,3291422,3293458,-0.493772478,-0.314023249,0.293261523,0.512051603,15,7,lpoA
cpxR,FALSE,-,4102995,4103693,-0.493651119,-0.121566183,0.199979443,0.103853269,6,4,cpxRA
mcrC,FALSE,-,4574935,4575981,-0.493549944,-0.372200982,0.17845034,0.284423659,3,4,mcrBC
ygeO,FALSE,-,2993984,2994409,-0.493329397,-0.204584534,0,0,1,1,insCD-4C-4D-4-ygeONM
alaE,FALSE,+,2797186,2797635,-0.493191996,-0.582460341,0.116273793,0.417745414,3,3,alaE
trpB,FALSE,-,1315246,1316439,-0.492498453,-0.218281379,0.196428622,0.364747062,8,7,trpLEDCBA
aroG,FALSE,+,784856,785908,-0.492458714,-0.501790891,0.250452063,0.141419986,7,8,aroG
ssrS,FALSE,+,3054005,3054187,-0.491893448,-0.475506454,0.096942701,0.12671479,4,2,ssrS-fau
ybcJ,FALSE,-,555884,556096,-0.491781139,-0.556894906,0.420262386,0.388902114,2,4,folD-ybcJ
glgP,FALSE,-,3562157,3564604,-0.49169925,-0.335655717,0.287969166,0.182426101,15,12,glgBXCAP
glcE,FALSE,-,3123492,3124544,-0.491539161,-0.283185913,0.100838217,0.377211177,5,7,glcDEFGBA
yobA,FALSE,-,1922619,1922993,-0.491066875,-0.557799909,0,0.081966622,1,2,yobA-yebZY
ygdD,FALSE,-,2939258,2939653,-0.490923923,-0.282305824,0,0.162723928,1,6,ygdD
lsrR,FALSE,-,1598312,1599265,-0.490841464,-0.283787943,0.030053272,0.126979939,3,12,lsrRK
glpK,FALSE,-,4113737,4115245,-0.4906622,-0.30272435,0.056679179,0.322097141,11,12,glpFKX
bisC,FALSE,-,3712084,3714417,-0.489125224,-0.283744169,0.079703619,0.162893267,13,21,bisC
amiC,FALSE,-,2945779,2947032,-0.488668416,-0.357317095,0.169938061,0.253164003,9,15,amiC
cpdA,FALSE,-,3174028,3174855,-0.48840596,-0.31399589,0.131161816,0.173425168,4,5,nudF-yqiB-cpdA-yqiA-parE
pgl,FALSE,+,797809,798804,-0.488374658,-0.513929658,0.196162997,0.535465424,9,7,pgl
yccT,FALSE,-,1026334,1026996,-0.488269026,-0.350365531,0.142125824,0.137618781,4,6,yccT
yfiR,FALSE,+,2739897,2740415,-0.48732726,-0.375003159,0.088546223,0.171903868,4,3,yfiR-dgcN-yfiB
btuD,FALSE,-,1790833,1791582,-0.487313608,-0.394368289,0.205270249,0.206624464,5,7,btuCED
gldA,FALSE,-,4135955,4137058,-0.487125388,-0.640540747,0.19601527,0.186964069,6,5,ptsA-fsaB-gldA
yqjI,FALSE,+,3214801,3215424,-0.487100954,-0.622943465,0.120035169,0.551191441,2,4,yqjI
ycgG,FALSE,+,1216551,1218074,-0.486979734,-0.33979843,0.075932149,0.05696621,4,11,ycgG
yaiA,FALSE,+,406203,406394,-0.48668776,-0.216989227,0.143836681,0.023639721,3,2,aroL-yaiA-aroM
ybhI,FALSE,+,801110,802543,-0.486577426,-0.344388901,0.447727418,0.127775946,6,15,ybhI
ygeV,FALSE,-,3002030,3003808,-0.48654006,-0.651430516,0.209227536,0.531489577,9,7,ygeV
htpG,FALSE,+,494344,496218,-0.486514425,-0.406491091,0.190392078,0.131444877,10,7,htpG
narU,FALSE,-,1540696,1542084,-0.486444573,-0.250774003,0.150377121,0.149636887,5,11,narU
yidX,FALSE,+,3873461,3874117,-0.486117851,-0.270680009,0,0.048330506,1,3,yidX
yjbS,FALSE,-,4266832,4267035,-0.485928544,NA,0,NA,1,0,yjbS
frmA,FALSE,-,377686,378795,-0.485865403,-0.360655808,0.394353104,0.230284129,13,12,frmRAB
yqgA,FALSE,+,3107575,3108282,-0.485332338,-0.354579908,0.124924616,0.060573303,5,2,yqgA
yqhD,FALSE,+,3153377,3154540,-0.485309644,-0.200068882,0.280128396,0.466341126,9,11,yqhD-dkgA
yliI,FALSE,+,877965,879080,-0.485190051,-0.345672076,0.288442379,0.199700419,7,6,yliI
dusA,FALSE,+,4259692,4260729,-0.484784959,-0.402057845,0.053804334,0.232627336,5,13,dusA
glvG,FALSE,-,3859372,3860010,-0.484725036,-0.098332372,0,0.08055488,1,2,glvCBG-ysdC
osmF,FALSE,-,2216586,2217503,-0.484666787,-0.38327301,0.426628017,0.198738488,4,11,osmF-yehYXW
ymbA,FALSE,+,1014134,1014682,-0.484247577,-1.102122917,0.103782789,0.482082591,5,4,ymbA
moaE,FALSE,+,818518,818970,-0.483716741,-1.221827854,0.052897305,1.811819792,2,2,moaABCDE
cspD,FALSE,-,921589,921813,-0.483310392,-0.619597213,0,0.540726216,1,2,cspD
ylbF,FALSE,+,548850,549665,-0.483039368,-0.356145944,0.182661145,0.212269526,7,10,fdrA-ylbEF-ybcF
ycaP,FALSE,+,955985,956677,-0.483030097,-0.612272019,0,0.255474,1,8,ycaP
fadK,FALSE,+,1781001,1782701,-0.482779177,-0.291794163,0.219630874,0.412370808,11,6,ydiQRST-fadK
clsB,FALSE,-,821721,822962,-0.48271183,-0.194890922,0.168545966,0.167683941,12,8,ybhP-clsB-ybhN
recF,FALSE,-,3878171,3879244,-0.482285697,-0.145228017,0.127747829,0.384448033,7,8,dnaAN-recF
mfd,FALSE,-,1169741,1173187,-0.482213821,-0.452423432,0.188439975,0.244380772,23,12,mfd
wecB,FALSE,+,3968156,3969286,-0.482072382,-0.146941683,0.250053296,0.164786012,14,9,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-rffT-rffM
ygaX,FALSE,+,2806338,2806604,-0.482064414,-0.370001571,0.00649274,0.252807028,3,4,ygaXY
yggP,FALSE,-,3074201,3075478,-0.481970142,-0.360121118,0.134740231,0.325097675,6,9,cmtBA-yggPFDC
moaA,FALSE,+,816267,817256,-0.48175813,-0.377022521,0.133422606,0.010059841,6,3,moaABCDE
ydhS,FALSE,+,1745155,1746759,-0.481637989,-0.185233476,0.179085006,0.274933089,7,10,ydhS
iraM,FALSE,-,1210903,1211226,-0.48160116,-0.559293323,0.284018991,0,2,1,iraM
ymfN,FALSE,+,1203393,1204760,-0.481499897,-0.460775868,0.09691346,0.497602214,9,11,ymfTLMNROPQ-ycfK-ymfS
alsK,TRUE,-,4304893,4305822,-0.481004727,-0.477677268,0.321890438,0.580308791,6,10,alsK
gpt,FALSE,+,255977,256435,-0.480485703,-0.337976707,0.075851812,0.380451165,2,7,gpt
ybbP,FALSE,+,519640,522054,-0.480343762,-0.339603416,0.167373894,0.287101063,10,25,ybbAP
yigA,FALSE,+,3993606,3994313,-0.479955783,-0.550838634,0.17920427,0.327577287,4,8,yifL-dapF-yigA-xerC-yigB
ycgR,FALSE,-,1243016,1243750,-0.479806503,-0.75507865,0.110946168,0.453099442,7,7,ycgR
fdoG,FALSE,-,4080795,4083845,-0.479167486,-0.442496733,0.136996608,0.382152118,26,21,fdoGHI-fdhE
yeaI,FALSE,+,1868409,1869884,-0.478784822,0.004629619,0.101453638,0.098939844,5,3,yeaI
lsrA,FALSE,+,1599514,1601049,-0.478600265,-0.235904391,0.181818218,0.158036185,7,12,lsrACDBFG-tam
ybgP,FALSE,-,748202,748930,-0.478191228,-0.377259706,0.118239563,0.099508607,6,7,ybgQPO
frc,FALSE,-,2490026,2491276,-0.47804526,-0.428190219,0.325665228,0.439054429,7,15,yfdX-frc-oxc-yfdVE
phoH,FALSE,+,1084215,1085279,-0.477950854,-0.237709835,0.152517053,0.29990115,7,7,phoH
yggD,FALSE,-,3072708,3073217,-0.47781791,-0.530354769,0.069131746,0,3,1,cmtBA-yggPFDC
ybjX,FALSE,-,917351,918307,-0.47779238,-0.66284867,0.077939916,0,3,1,ybjX
ygbI,FALSE,-,2858489,2859286,-0.476989819,-0.14301573,0.222850836,0.236355696,3,4,ygbI
yceJ,FALSE,-,1117703,1118269,-0.476455734,-0.096010304,0.043668306,0.146846188,1,2,yceJI
ydcP,FALSE,+,1504805,1506766,-0.476311589,-0.301083637,0.308959617,0.293100296,7,15,ydcP
fepB,FALSE,-,622777,623733,-0.476256072,-0.260697889,0.057760995,0.203298941,2,6,fepB
tynA,FALSE,-,1447100,1449373,-0.475839743,-0.193890188,0.193203569,0.134186995,10,5,tynA
hyaF,FALSE,+,1035972,1036829,-0.475771944,-0.415667239,0.336524062,0.171858642,3,6,hyaABCDEF
yhjY,FALSE,-,3710259,3710957,-0.475143711,-0.144866086,0.146177952,0.337930652,3,8,yhjY
pncC,FALSE,-,2821871,2822368,-0.474973112,-0.218786509,0.045707137,0.243066454,2,6,pncC
gspL,FALSE,+,3461944,3463107,-0.474908666,-0.241611929,0.169330721,0.225341395,6,8,gspCDEFGHIJKLMO
ygeX,FALSE,+,3005532,3006728,-0.474366893,-0.46061812,0.136349304,0.41117049,9,8,ygeX
wzzE,FALSE,+,3967054,3968100,-0.474251688,-0.37464812,0.258663082,0.322281292,7,10,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-rffT-rffM
csdA,FALSE,+,2941359,2942564,-0.474066747,-0.294763954,0.228811129,0.266555923,11,5,csdAE
waaJ,FALSE,-,3799006,3800022,-0.473819431,-0.358535676,0.120929615,0.199779729,2,4,waaQGPSBOJYZU
ghxQ,FALSE,+,3025143,3026510,-0.47366321,-0.355960225,0.162475435,0.113452917,9,11,xanQ-guaD-ghxQ
yjgN,FALSE,+,4477753,4478949,-0.473243391,-0.211317811,0.044569894,0.262482907,2,5,yjgN
glnB,FALSE,-,2685092,2685430,-0.473202999,-0.240840734,0.120078321,0.091234084,3,2,glrR-glnB
hycD,FALSE,-,2844511,2845434,-0.473109886,-0.318161963,0.412140917,0.231766617,6,8,hycABCDEFGHI
appA,FALSE,+,1039840,1041138,-0.472997858,-0.203705518,0.148179594,0.275155031,11,10,appCBXA
yraJ,FALSE,+,3286836,3289352,-0.472652799,-0.310435956,0.314581754,0.266004088,7,10,yraIJK
fabF,FALSE,+,1151162,1152403,-0.472444609,-0.256263107,0.290078955,0.369240282,7,9,yceD-rpmF-plsX-fabHDG-acpP-fabF
pheA,FALSE,+,2735767,2736927,-0.47221387,-0.181914116,0.265064652,0.219864247,7,8,pheLA
iraP,FALSE,+,400610,400870,-0.47218851,-1.172584151,0.17427446,0,1,1,iraP
yfcP,FALSE,-,2448073,2448612,-0.472185842,-0.589263887,0.363074511,0.218398779,2,2,yfcUTSRQPO
degQ,FALSE,+,3378765,3380132,-0.47200882,-0.398033629,0.145940794,0.111129329,6,14,degQS
nrdD,FALSE,-,4458545,4460683,-0.471878976,-0.472144435,0.184290565,0.360037475,15,13,nrdDG
uspB,FALSE,-,3637408,3637743,-0.471681237,-1.706813587,0.035182194,0,2,1,uspB
sfmC,FALSE,+,558197,558889,-0.471529844,-0.282108245,0.174708674,0.223109841,3,7,sfmCD
fliN,FALSE,+,2019112,2019525,-0.471395617,-0.229694253,0.184122922,0,4,1,fliLMNOPQR
nikC,FALSE,+,3614205,3615038,-0.470926432,-0.437270571,0.221271796,0.287535904,6,12,nikABCDER
pncA,FALSE,+,1849911,1850552,-0.470805597,-0.465417382,0.184322853,0.237658036,4,6,ansA-pncA
ybhS,FALSE,-,825342,826475,-0.470803403,-0.307052058,0.082748071,0.148542652,8,8,cecR-ybhGFSR
rhsB,FALSE,+,3617215,3621450,-0.470660809,-0.431816853,0.243783598,0.135205201,7,7,rhsB
yhbO,FALSE,+,3296996,3297514,-0.470639056,-0.303566004,0.234523486,0.113166432,2,3,yhbO
waaH,FALSE,-,3787070,3788104,-0.47025693,-0.152533002,0.233785206,0.08304683,9,5,waaH
yjiY,FALSE,-,4587152,4589302,-0.470132407,-0.222854651,0.184182287,0.256701595,14,21,yjiY
ulaD,FALSE,+,4420209,4420859,-0.470132341,-0.322549808,0.351963949,0.207892591,4,7,ulaABCDEF
yjhX,FALSE,-,4531819,4532076,-0.470091745,-0.11600895,0.021264587,0,2,1,yjhX
livM,FALSE,-,3592226,3593503,-0.469767468,-0.366138736,0.235242394,0.219583971,13,18,livKHMGF
yeeW,FALSE,+,2075964,2076158,-0.469268673,-0.246018895,0.033276195,0.144312752,2,3,yeeRST-cbeA-cbtA-yeeW
barA,FALSE,+,2913079,2915835,-0.469097139,-0.380287199,0.31426194,0.1680993,18,15,barA
yjiJ,FALSE,-,4559520,4560698,-0.468914709,-0.484777353,0.124199618,0.276040712,10,9,yjiJ
deoD,FALSE,+,4618906,4619625,-0.468860441,-0.256052228,0.167888306,0.211045213,2,7,deoCABD
ycdZ,FALSE,+,1099519,1100010,-0.468834232,-0.35795772,0.152913336,0.301441501,5,5,ycdZ
rsxD,FALSE,+,1707166,1708224,-0.468734528,-0.271445424,0.073859568,0.119050155,3,10,ydgK-rsxABCDGE-nth
ampG,FALSE,-,451294,452769,-0.46870239,-0.507268382,0.376630922,0.552113935,11,12,yajG-ampG
yhaH,FALSE,+,3250326,3250691,-0.468681727,0.225379024,0,0.320579612,1,2,yhaH
wrbA,FALSE,-,1066335,1066931,-0.468637264,-0.406973028,0.146758303,0.401370698,7,5,wrbA-yccJ
cheZ,FALSE,-,1964417,1965061,-0.468612856,-0.541410605,0.137074451,0.386891667,4,7,tar-tap-cheRBYZ
paoA,FALSE,-,301108,301797,-0.468605039,-0.280282969,0.216799878,0.055861618,5,6,paoABCD
yaaJ,FALSE,-,6529,7959,-0.468490768,-0.431951694,0.138206512,0.384948823,12,16,yaaJ
rrrD,FALSE,+,576836,577333,-0.468355057,-0.410068663,0.203655609,0.118389038,4,4,essD-rrrD-rzpD
yggF,FALSE,-,3073239,3074204,-0.468291697,-0.253898427,0.047134865,0.224775858,5,10,cmtBA-yggPFDC
flxA,FALSE,+,1644429,1644761,-0.468129027,0.002093767,0,0.419501976,1,2,flxA
trpE,FALSE,-,1319408,1320970,-0.467931156,-0.313089809,0.115026365,0.270929609,12,6,trpLEDCBA
cspI,FALSE,-,1636479,1636691,-0.46789457,-0.074617931,0.192366657,0,1,1,cspI
folX,FALSE,+,2419347,2419709,-0.467877313,-0.442250755,0,0.151980469,1,3,folX-yfcH
ydiN,FALSE,+,1770536,1771801,-0.467839569,-0.441967409,0.227004357,0.111901893,6,7,ydiNB-aroD
araD,FALSE,-,65855,66550,-0.46754674,-0.279592359,0.238164512,0.162047592,5,2,araBAD
ymfO,FALSE,+,1204954,1205427,-0.467465947,-0.465247043,0.03622919,0.497486762,3,4,ymfTLMNROPQ-ycfK-ymfS
bolA,FALSE,+,453696,454013,-0.467146896,NA,0,NA,1,0,bolA
cutC,FALSE,-,1956544,1957290,-0.467127084,-0.238304327,0.098180417,0.116626496,3,5,yecM-cutC
thiP,FALSE,-,72911,74521,-0.466983981,-0.228091196,0.135360925,0.204097872,9,16,sgrR-sroA-tbpA-thiPQ
malK,FALSE,+,4244807,4245922,-0.466733121,-0.310704195,0.118659007,0.180423735,7,9,malK-lamB-malM
dbpA,FALSE,+,1407535,1408908,-0.466614774,-0.343648914,0.23963352,0.252264479,8,8,dbpA
btuE,FALSE,-,1791582,1792133,-0.466614711,-0.262115443,0.240036357,0.136296878,2,4,btuCED
malT,FALSE,+,3551107,3553812,-0.466549912,-0.245671708,0.182103649,0.195511401,13,16,malT
yfbP,FALSE,+,2387138,2387986,-0.466464915,-0.318245342,0.074150619,0.206880582,4,6,yfbP
menC,FALSE,-,2373022,2373984,-0.466424167,-0.388041269,0.192141441,0.275955803,2,9,menFDHBCE
chbC,FALSE,-,1817880,1819238,-0.466217504,-0.104026338,0.1687691,0.232912866,6,16,chbBCARFG
yjdJ,FALSE,+,4350108,4350380,-0.465431671,-0.480101905,0.172225838,0.151679664,4,2,yjdIJ
yfaP,FALSE,-,2325389,2326165,-0.465128467,-0.198058748,0.334394413,0.183474837,8,6,yfaATS_1S_2QP
nupX,FALSE,-,2250917,2252167,-0.465076977,-0.465112119,0.153205134,0.316272457,2,11,nupX
prpC,FALSE,+,349236,350405,-0.464908944,-0.299126084,0.2876242,0.282193617,6,12,prpBCDE
yicS,FALSE,+,3838238,3838531,-0.464880445,-0.739981035,0,0.577907515,1,2,yicS
ybhL,FALSE,+,819107,819811,-0.464849637,-0.286414817,0.119751974,0.133486389,4,5,ybhL
eamB,FALSE,+,2713445,2714032,-0.464414685,-0.38863629,0,0.324796447,1,4,eamB
ghrB,FALSE,+,3715333,3716307,-0.46434949,-0.450439915,0.308369214,0.240549765,4,6,ghrB
ybgJ,FALSE,+,742816,743472,-0.464245945,-0.222008595,0.246680503,0.056781173,5,6,ybgIJKL-nei
nemR,FALSE,+,1724047,1724646,-0.464072851,-0.403558655,0.121799374,0.11928538,3,2,nemRA-gloA
yhcF,FALSE,+,3364948,3365664,-0.46366817,-0.270323686,0.130372986,0.063739,5,4,ychE_2-yhcF
yagP,FALSE,-,296605,297015,-0.463649172,-0.277130848,0,0.183223962,1,4,yagP
ahpF,FALSE,+,638976,640541,-0.463069113,-0.4215888,0.050476544,0.319717138,7,13,ahpCF
yghJ,FALSE,-,3112572,3117134,-0.462954831,-0.33701935,0.12268428,0.27754825,23,35,yghJ
yggS,FALSE,+,3093120,3093824,-0.462396607,-0.310750965,0.116304879,0.221894889,5,4,yggSTU-rdgB-yggW
betA,FALSE,-,324801,326471,-0.462273986,-0.265597691,0.188271481,0.239138806,14,14,betIBA
cyoE,FALSE,-,446039,446929,-0.46222357,-0.392871351,0.03155589,0.173236197,3,12,cyoABCDE
dsbB,FALSE,-,1231723,1232253,-0.461546444,-0.442301704,0.237450898,0.124038281,8,3,dsbB
sbmC,FALSE,-,2078813,2079286,-0.461455589,-0.250759504,0.174070888,0.317260468,2,6,sbmC
torS,FALSE,-,1052657,1055401,-0.461449829,-0.381020002,0.273519341,0.501490648,19,19,torS
aroE,FALSE,-,3428042,3428860,-0.461428303,-0.342647932,0.305869117,0.234375297,2,12,yrdD-tsaC-aroE-yrdB
tnaB,TRUE,+,3888259,3889506,-0.461323733,-0.318535816,0.203987425,0.17762911,4,10,tnaCAB
ypdC,FALSE,+,2499152,2500009,-0.461066184,-0.384622443,0,0.193172708,1,9,ypdABC
ybfC,FALSE,+,734873,735442,-0.461061625,-0.536181987,0.290061074,0.515048549,2,2,ybfOC
gspB,FALSE,-,3451530,3451949,-0.460958028,NA,0.031757159,NA,3,0,gspAB
